x, y, z, porePressure
   22.113,    10.113,     0.000,    727297.31
   22.113,    10.500,     0.000,    723497.94
   22.113,    10.887,     0.000,    719698.56
   22.887,    11.113,     0.000,    717487.31
   22.887,    11.500,     0.000,    713687.94
   22.887,    11.887,     0.000,    709888.56
   22.500,    11.113,     0.000,    717487.31
   22.500,    11.500,     0.000,    713687.94
   22.500,    11.887,     0.000,    709888.56
   22.113,    11.113,     0.000,    717487.31
   22.113,    11.500,     0.000,    713687.94
   22.113,    11.887,     0.000,    709888.56
   22.887,    12.113,     0.000,    707677.31
   22.887,    12.500,     0.000,    703877.94
   22.887,    12.887,     0.000,    700078.56
   22.500,    12.113,     0.000,    707677.31
   22.500,    12.500,     0.000,    703877.94
   22.500,    12.887,     0.000,    700078.56
   22.113,    12.113,     0.000,    707677.31
   22.113,    12.500,     0.000,    703877.94
   22.113,    12.887,     0.000,    700078.56
   22.887,    13.113,     0.000,    697867.31
   22.887,    13.500,     0.000,    694067.94
   22.887,    13.887,     0.000,    690268.56
   22.500,    13.113,     0.000,    697867.31
   22.500,    13.500,     0.000,    694067.94
   22.500,    13.887,     0.000,    690268.56
   22.113,    13.113,     0.000,    697867.31
   22.113,    13.500,     0.000,    694067.94
   22.113,    13.887,     0.000,    690268.56
   22.887,    14.113,     0.000,    688057.31
   22.887,    14.500,     0.000,    684257.94
   22.887,    14.887,     0.000,    680458.56
   22.500,    14.113,     0.000,    688057.31
   22.500,    14.500,     0.000,    684257.94
   22.500,    14.887,     0.000,    680458.56
   22.113,    14.113,     0.000,    688057.31
   22.113,    14.500,     0.000,    684257.94
   22.113,    14.887,     0.000,    680458.56
   22.887,    15.113,     0.000,    678247.31
   22.887,    15.500,     0.000,    674447.94
   22.887,    15.887,     0.000,    670648.56
   22.500,    15.113,     0.000,    678247.31
   22.500,    15.500,     0.000,    674447.94
   22.500,    15.887,     0.000,    670648.56
   22.113,    15.113,     0.000,    678247.31
   22.113,    15.500,     0.000,    674447.94
   22.113,    15.887,     0.000,    670648.56
   22.887,    16.113,     0.000,    668437.31
   22.887,    16.500,     0.000,    664637.94
   22.887,    16.887,     0.000,    660838.56
   22.500,    16.113,     0.000,    668437.31
   22.500,    16.500,     0.000,    664637.94
   22.500,    16.887,     0.000,    660838.56
   22.113,    16.113,     0.000,    668437.31
   22.113,    16.500,     0.000,    664637.94
   22.113,    16.887,     0.000,    660838.56
   22.887,    17.113,     0.000,    658627.31
   22.887,    17.500,     0.000,    654827.94
   22.887,    17.887,     0.000,    651028.56
   22.500,    17.113,     0.000,    658627.31
