x, y, z, porePressure
   22.500,     9.887,     0.000,    393506.09
   22.113,     9.113,     0.000,    401104.88
   22.113,     9.500,     0.000,    397305.47
   22.113,     9.887,     0.000,    393506.09
   22.887,    10.113,     0.000,    391294.88
   22.887,    10.500,     0.000,    387495.47
   22.887,    10.887,     0.000,    383696.06
   22.500,    10.113,     0.000,    391294.88
   22.500,    10.500,     0.000,    387495.47
   22.500,    10.887,     0.000,    383696.06
   22.113,    10.113,     0.000,    391294.88
   22.113,    10.500,     0.000,    387495.47
   22.113,    10.887,     0.000,    383696.06
   22.887,    11.113,     0.000,    381484.88
   22.887,    11.500,     0.000,    377685.47
   22.887,    11.887,     0.000,    373886.06
   22.500,    11.113,     0.000,    381484.88
   22.500,    11.500,     0.000,    377685.47
   22.500,    11.887,     0.000,    373886.06
   22.113,    11.113,     0.000,    381484.88
   22.113,    11.500,     0.000,    377685.47
   22.113,    11.887,     0.000,    373886.06
   22.887,    12.113,     0.000,    371674.84
   22.887,    12.500,     0.000,    367875.44
   22.887,    12.887,     0.000,    364076.03
   22.500,    12.113,     0.000,    371674.84
   22.500,    12.500,     0.000,    367875.44
   22.500,    12.887,     0.000,    364076.03
   22.113,    12.113,     0.000,    371674.84
   22.113,    12.500,     0.000,    367875.44
   22.113,    12.887,     0.000,    364076.03
   22.887,    13.113,     0.000,    361864.81
   22.887,    13.500,     0.000,    358065.41
   22.887,    13.887,     0.000,    354266.03
   22.500,    13.113,     0.000,    361864.81
   22.500,    13.500,     0.000,    358065.41
   22.500,    13.887,     0.000,    354266.03
   22.113,    13.113,     0.000,    361864.81
   22.113,    13.500,     0.000,    358065.41
   22.113,    13.887,     0.000,    354266.03
   22.887,    14.113,     0.000,    352054.81
   22.887,    14.500,     0.000,    348255.41
   22.887,    14.887,     0.000,    344456.00
   22.500,    14.113,     0.000,    352054.81
   22.500,    14.500,     0.000,    348255.41
   22.500,    14.887,     0.000,    344456.00
   22.113,    14.113,     0.000,    352054.81
   22.113,    14.500,     0.000,    348255.41
   22.113,    14.887,     0.000,    344456.00
   22.887,    15.113,     0.000,    342244.78
   22.887,    15.500,     0.000,    338445.38
   22.887,    15.887,     0.000,    334645.97
   22.500,    15.113,     0.000,    342244.78
   22.500,    15.500,     0.000,    338445.38
   22.500,    15.887,     0.000,    334645.97
   22.113,    15.113,     0.000,    342244.78
   22.113,    15.500,     0.000,    338445.38
   22.113,    15.887,     0.000,    334645.97
   22.887,    16.113,     0.000,    332434.75
   22.887,    16.500,     0.000,    328635.38
   22.887,    16.887,     0.000,    324835.97
   22.500,    16.113,     0.000,    332434.75
   22.500,    16.500,     0.000,    328635.38
   22.500,    16.887,     0.000,    324835.97
   22.113,    16.113,     0.000,    332434.75
   22.113,    16.500,     0.000,    328635.38
   22.113,    16.887,     0.000,    324835.97
   22.887,    17.113,     0.000,    322624.75
   22.887,    17.500,     0.000,    318825.34
   22.887,    17.887,     0.000,    315025.94
   22.500,    17.113,     0.000,    322624.75
   22.500,    17.500,     0.000,    318825.34
   22.500,    17.887,     0.000,    315025.94
   22.113,    17.113,     0.000,    322624.75
   22.113,    17.500,     0.000,    318825.34
   22.113,    17.887,     0.000,    315025.94
   22.887,    18.113,     0.000,    312814.72
   22.887,    18.500,     0.000,    309015.31
   22.887,    18.887,     0.000,    305215.91
   22.500,    18.113,     0.000,    312814.72
   22.500,    18.500,     0.000,    309015.31
   22.500,    18.887,     0.000,    305215.91
   22.113,    18.113,     0.000,    312814.72
   22.113,    18.500,     0.000,    309015.31
   22.113,    18.887,     0.000,    305215.91
   22.887,    19.113,     0.000,    303004.72
   22.887,    19.500,     0.000,    299205.31
   22.887,    19.887,     0.000,    295405.91
   22.500,    19.113,     0.000,    303004.72
   22.500,    19.500,     0.000,    299205.31
   22.500,    19.887,     0.000,    295405.91
   22.113,    19.113,     0.000,    303004.72
   22.113,    19.500,     0.000,    299205.31
   22.113,    19.887,     0.000,    295405.91
   22.887,    20.113,     0.000,    293194.69
   22.887,    20.500,     0.000,    289395.28
   22.887,    20.887,     0.000,    285595.88
   22.500,    20.113,     0.000,    293194.69
   22.500,    20.500,     0.000,    289395.28
   22.500,    20.887,     0.000,    285595.88
   22.113,    20.113,     0.000,    293194.69
   22.113,    20.500,     0.000,    289395.28
   22.113,    20.887,     0.000,    285595.88
   22.887,    21.113,     0.000,    283384.66
   22.887,    21.500,     0.000,    279585.25
   22.887,    21.887,     0.000,    275785.88
   22.500,    21.113,     0.000,    283384.66
   22.500,    21.500,     0.000,    279585.25
   22.500,    21.887,     0.000,    275785.88
   22.113,    21.113,     0.000,    283384.66
   22.113,    21.500,     0.000,    279585.25
   22.113,    21.887,     0.000,    275785.88
